HOLE:	995B
LEG:	164
TOP:	147.9804
BOTTOM:	662.6352
DEPTH_WMSF	C1	C2
m	in	in
147.9804	8.3589	7.9579
148.1328	9.5513	9.1187
148.2852	10.6184	10.1264
148.4376	11.6284	11.0825
148.5900	12.0602	11.5034
148.7424	12.6507	12.0664
148.8948	13.4769	12.4718
149.0472	13.3249	12.5348
149.1996	13.3028	12.4107
149.3520	12.3532	11.5149
149.5044	3.9829	3.8683
149.6568	3.9852	3.8683
149.8092	3.9901	3.8724
149.9616	3.9882	3.8706
150.1140	3.9698	3.8619
150.2664	3.9871	3.8611
150.4188	3.9893	3.8680
150.5712	3.9893	3.8657
150.7236	3.9866	3.8644
150.8760	3.9866	3.8690
151.0284	3.9839	3.8677
151.1808	3.9866	3.8690
151.3332	3.9812	3.8664
151.4856	3.9981	3.8632
151.6380	4.0293	3.8735
151.7904	4.0246	3.8735
151.9428	4.0273	3.8748
152.0952	4.0266	3.8677
152.2476	4.0246	3.9006
152.4000	4.0218	3.9084
152.5524	4.0218	3.9084
152.7048	4.0218	3.9084
152.8572	4.0246	3.9097
153.0096	4.0483	3.9187
153.1620	4.0836	3.9174
153.3144	4.0816	3.9368
153.4668	4.1462	4.0016
153.6192	4.4016	4.2552
153.7716	4.7823	4.6039
153.9240	5.0621	4.8459
154.0764	5.2980	5.0670
154.2288	5.5298	5.2936
154.3812	5.7728	5.5318
154.5336	5.9927	5.7298
154.6860	6.2725	5.9935
154.8384	6.5657	6.2635
154.9908	6.8666	6.5531
155.1432	7.1918	6.8884
155.2956	7.5957	7.2583
155.4480	7.9907	7.6262
155.6004	8.4747	8.0865
155.7528	8.8291	8.4512
155.9052	9.2419	8.8388
156.0576	9.6131	9.1845
156.2100	10.0070	9.5586
156.3624	10.3343	9.9035
156.5148	10.6599	10.1754
156.6672	10.9356	10.4172
156.8196	11.2080	10.6823
156.9720	11.4230	10.9032
157.1244	11.7348	11.2012
157.2768	11.8837	11.3519
157.4292	12.3071	11.7582
157.5816	11.9606	12.1240
157.7340	11.9792	12.5898
157.8864	11.9118	13.0588
158.0388	12.1258	13.3466
158.1912	12.1002	13.5151
158.3436	12.2021	13.7471
158.4960	12.2333	13.9674
158.6484	12.4736	14.1180
158.8008	12.1963	13.0890
158.9532	12.2183	13.4346
159.1056	12.1037	13.0805
159.2580	12.0851	13.0464
159.4104	12.0944	13.0933
159.5628	12.1095	13.0510
159.7152	13.2224	14.9064
159.8676	11.9699	12.5506
160.0200	11.9688	12.5374
160.1724	12.0050	12.5372
160.3248	12.0433	12.5374
160.4772	12.0537	12.5855
160.6296	12.0225	12.6240
160.7820	12.0014	12.5635
160.9344	12.0015	12.6331
161.0868	11.9128	12.9866
161.2392	12.2206	12.7417
161.3916	12.5421	12.7504
161.5440	12.8926	12.6589
161.6964	13.8723	13.2037
161.8488	12.7484	12.5415
162.0012	12.6001	12.8192
162.1536	12.6832	12.9141
162.3060	12.7452	12.9566
162.4584	14.4915	14.0372
162.6108	12.5271	13.2206
162.7632	13.4017	13.3139
162.9156	13.5286	13.9193
163.0680	11.9326	13.4691
163.2204	11.9910	13.4764
163.3728	12.0165	13.5067
163.5252	12.2794	13.8409
163.6776	11.9606	13.2633
163.8300	12.1663	13.2085
163.9824	12.3479	13.9775
164.1348	12.2070	13.6753
164.2872	12.2880	13.7776
164.4396	12.3117	13.8113
164.5920	12.2989	13.8085
164.7444	13.6680	14.2168
164.8968	12.2480	13.7461
165.0492	11.9019	13.6672
165.2016	11.8801	13.6603
165.3540	12.0205	13.6276
165.5064	12.3911	13.5939
165.6588	13.9258	14.3594
165.8112	14.4307	14.6567
165.9636	13.3965	13.8164
166.1160	13.0459	13.6718
166.2684	12.2168	13.5891
166.4208	12.4727	13.6215
166.5732	13.2090	13.8271
166.7256	12.8125	13.8710
166.8780	12.1924	13.6157
167.0304	12.1558	13.5148
167.1828	12.6152	13.3716
167.3352	13.3203	13.9414
167.4876	12.7754	14.6357
167.6400	12.4844	14.8017
167.7924	12.4879	14.7386
167.9448	12.1221	13.5957
168.0972	11.9584	13.2026
168.2496	12.5225	13.5811
168.4020	12.5259	13.2324
168.5544	12.4851	12.8997
168.7068	12.7632	13.0396
168.8592	12.9651	13.1639
169.0116	13.2534	13.1678
169.1640	12.9160	12.9546
169.3164	13.4395	12.9619
169.4688	14.5488	13.5264
169.6212	14.9653	14.0200
169.7736	14.7925	14.0652
169.9260	13.3867	13.4961
170.0784	12.4091	13.1128
170.2308	12.7334	13.2087
170.3832	12.9219	13.4854
170.5356	12.4922	13.4004
170.6880	12.1339	13.2065
170.8404	12.3828	13.5918
170.9928	12.5269	13.6797
171.1452	12.6230	13.4675
171.2976	12.9116	13.6108
171.4500	12.5469	13.5205
171.6024	12.0557	13.2771
171.7548	12.1162	13.3643
171.9072	12.1963	13.4434
172.0596	12.2184	13.4293
172.2120	12.2611	13.4156
172.3644	12.3073	13.3818
172.5168	12.3970	13.4033
172.6692	12.3345	13.4937
172.8216	12.0591	13.4326
172.9740	12.0571	13.6777
173.1264	12.1821	13.9941
173.2788	12.0804	13.0181
173.4312	12.0223	13.0460
173.5836	12.0533	13.2139
173.7360	12.2354	13.6318
173.8884	12.7222	13.8799
174.0408	13.0977	13.5615
174.1932	13.2412	13.7401
174.3456	12.7451	13.7012
174.4980	12.1588	13.5511
174.6504	12.1550	13.5477
174.8028	12.1665	13.6123
174.9552	12.0391	13.9395
175.1076	12.2615	14.0957
175.2600	12.3735	13.6017
175.4124	12.3695	13.5828
175.5648	12.3257	13.4804
175.7172	12.5835	13.4751
175.8696	12.9941	13.4803
176.0220	13.7500	13.3369
176.1744	12.4375	12.7656
176.3268	13.4077	12.9561
176.4792	13.0342	12.5417
176.6316	13.0327	12.5859
176.7840	12.7855	13.2241
176.9364	12.9121	13.5078
177.0888	14.1309	13.7813
177.2412	15.7580	15.2422
177.3936	15.7903	15.2603
177.5460	15.7940	15.2640
177.6984	15.7940	15.2677
177.8508	15.7822	15.2544
178.0032	12.1797	13.1289
178.1556	12.0893	13.2744
178.3080	12.0096	13.1818
178.4604	11.9713	13.2112
178.6128	11.9956	13.1515
178.7652	12.0110	13.1973
178.9176	12.0054	13.2030
179.0700	12.0191	13.1440
179.2224	14.1406	13.2227
179.3748	12.4297	12.9854
179.5272	13.5879	14.0684
179.6796	13.5642	14.1479
179.8320	13.4517	14.0220
179.9844	12.2031	13.4121
180.1368	12.7461	13.8760
180.2892	14.2363	14.9063
180.4416	15.4727	15.2100
180.5940	15.7354	15.2569
180.7464	15.6644	15.2635
180.8988	15.2539	15.0264
181.0512	15.1293	14.9811
181.2036	15.6875	15.2207
181.3560	15.7461	15.2577
181.5084	15.7527	14.5488
181.6608	15.7794	15.1094
181.8132	14.0742	13.9375
181.9656	13.7504	13.8091
182.1180	15.0566	14.2637
182.2704	15.5425	14.1143
182.4228	15.6899	13.9460
182.5752	15.7065	14.0344
182.7276	12.9453	14.1541
182.8800	12.5967	14.4771
183.0324	12.7878	14.3560
183.1848	13.0571	14.7734
183.3372	13.1372	14.8723
183.4896	14.1328	14.4834
183.6420	13.4160	13.8008
183.7944	13.7402	14.1377
183.9468	14.4258	14.6157
184.0992	14.4819	14.5640
184.2516	12.9961	14.1494
184.4040	12.5684	14.0693
184.5564	12.8501	14.2024
184.7088	14.2188	14.6123
184.8612	15.2559	14.5127
185.0136	15.5808	14.3846
185.1660	15.1582	14.7969
185.3184	13.2500	14.1465
185.4708	12.5532	13.8264
185.6232	12.5553	13.8073
185.7756	13.2051	13.9868
185.9280	13.8955	14.0768
186.0804	13.1875	13.6279
186.2328	12.5640	13.3336
186.3852	12.6313	13.3290
186.5376	12.9214	14.2676
186.6900	13.0704	14.8629
186.8424	13.0827	14.8876
186.9948	13.4697	14.7974
187.1472	13.5029	14.6472
187.2996	13.2246	14.7275
187.4520	13.2065	14.9333
187.6044	14.4336	15.1479
187.7568	14.0039	14.8525
187.9092	13.7598	14.4744
188.0616	14.3083	14.5640
188.2140	14.3108	14.6748
188.3664	13.9844	14.0469
188.5188	14.1533	14.3105
188.6712	14.7290	14.3242
188.8236	15.3711	14.5449
188.9760	15.7813	15.2437
189.1284	15.7862	15.2556
189.2808	14.5156	15.2558
189.4332	13.5283	15.2454
189.5856	14.6602	15.2436
189.7380	15.5687	15.2478
189.8904	15.4063	15.2516
190.0428	15.4287	15.2516
190.1952	15.0977	15.2539
190.3476	14.6523	15.2525
190.5000	15.2813	15.2484
190.6524	15.7807	15.2293
190.8048	15.7836	15.2332
190.9572	15.7869	15.2661
191.1096	15.7775	15.2630
191.2620	15.7758	15.2611
191.4144	15.5664	15.2148
191.5668	15.4727	15.1858
191.7192	15.7722	15.2412
191.8716	15.7836	15.2536
192.0240	15.7798	15.2565
192.1764	15.7787	15.2575
192.3288	15.7865	15.2610
192.4812	15.7866	15.2622
192.6336	15.7841	15.2609
192.7860	15.7880	15.2636
192.9384	15.7864	15.1975
193.0908	15.7902	15.1418
193.2432	15.5996	15.2178
193.3956	15.4199	15.1829
193.5480	15.7708	15.2492
193.7004	15.6431	15.0381
193.8528	15.2236	14.5576
194.0052	14.8721	14.2969
194.1576	15.1166	14.1929
194.3100	15.0391	14.6230
194.4624	14.2637	15.1143
194.6148	13.2134	14.6548
194.7672	13.1045	14.3466
194.9196	12.9583	14.2971
195.0720	13.0156	14.3213
195.2244	13.2703	14.3394
195.3768	13.4961	14.1890
195.5292	14.0625	14.3130
195.6816	14.4697	14.5607
195.8340	13.9580	14.3877
195.9864	13.5825	14.0265
196.1388	13.7680	13.9695
196.2912	13.7634	13.9342
196.4436	13.7647	13.9360
196.5960	14.1094	14.2090
196.7484	15.0898	14.9629
196.9008	13.9863	14.0117
197.0532	15.3711	15.0696
197.2056	15.4438	15.0488
197.3580	15.1069	14.6729
197.5104	14.8965	15.1621
197.6628	14.8492	15.2522
197.8152	14.8022	15.2572
197.9676	14.1523	15.2648
198.1200	12.1504	15.2470
198.2724	12.4678	15.1445
198.4248	13.1064	14.5850
198.5772	13.4523	15.1386
198.7296	13.6953	15.1655
198.8820	15.1270	15.2521
199.0344	14.5918	15.2477
199.1868	13.4639	15.2561
199.3392	13.9456	15.2450
199.4916	14.0908	15.1514
199.6440	13.6970	14.8862
199.7964	13.4941	15.1875
199.9488	12.7598	14.5459
200.1012	13.0293	14.7568
200.2536	12.8652	14.6917
200.4060	13.7559	14.8302
200.5584	12.9253	14.8965
200.7108	12.6658	14.6831
200.8632	12.6484	14.4571
201.0156	13.2969	14.4795
201.1680	13.9824	14.0352
201.3204	15.3579	14.7915
201.4728	15.7602	15.1591
201.6252	15.7865	15.2640
201.7776	15.7902	15.2640
201.9300	15.7902	15.2640
202.0824	15.7902	15.2565
202.2348	15.7902	15.2640
202.3872	15.7825	15.2714
202.5396	15.7188	15.2500
202.6920	13.5605	14.3184
202.8444	14.5122	14.4229
202.9968	14.7387	14.6412
203.1492	14.7134	14.6841
203.3016	14.4366	14.8242
203.4540	14.4888	14.9170
203.6064	14.8711	15.2492
203.7588	14.9419	15.2564
203.9112	15.1348	15.2467
204.0636	14.3574	15.2407
204.2160	12.8574	14.9209
204.3684	13.6440	15.1442
204.5208	13.7969	15.1538
204.6732	15.7842	15.2590
204.8256	15.7840	15.2556
204.9780	15.7755	15.2639
205.1304	15.7842	15.2591
205.2828	15.7627	15.2590
205.4352	14.9941	15.2500
205.5876	14.7275	14.9941
205.7400	15.1563	14.5391
205.8924	12.6035	14.1436
206.0448	13.3188	13.7354
206.1972	13.5112	14.2476
206.3496	13.1996	14.1936
206.5020	13.2559	14.3022
206.6544	13.2579	14.3175
206.8068	13.7424	14.9473
206.9592	15.6600	15.1827
207.1116	14.1358	15.2396
207.2640	14.9630	15.2481
207.4164	15.7418	15.2090
207.5688	15.7460	14.1858
207.7212	15.3300	14.1329
207.8736	14.9724	15.1394
208.0260	12.7602	14.9829
208.1784	12.6980	14.8657
208.3308	12.7293	14.4453
208.4832	12.9417	14.0626
208.6356	14.9843	15.2275
208.7880	14.2814	14.7588
208.9404	15.7269	15.2253
209.0928	15.7902	15.2640
209.2452	15.7899	15.2635
209.3976	15.6912	15.2167
209.5500	14.0858	14.5390
209.7024	12.9357	13.9673
209.8548	14.1251	14.2657
210.0072	14.9527	15.0923
210.1596	15.1802	15.2255
210.3120	15.1858	15.2442
210.4644	15.1862	15.2450
210.6168	15.2296	15.2567
210.7692	15.7639	15.2226
210.9216	15.5478	14.7383
211.0740	15.0429	15.2485
211.2264	14.7030	15.2565
211.3788	14.6828	15.2559
211.5312	14.7364	15.2491
211.6836	15.6851	15.2631
211.8360	15.7820	15.2363
211.9884	15.7569	15.0645
212.1408	15.7902	15.2634
212.2932	15.7893	15.2555
212.4456	15.7792	15.2449
212.5980	15.7895	15.2673
212.7504	15.7808	15.2631
212.9028	15.7836	15.2660
213.0552	15.7779	15.2589
213.2076	15.7894	15.2561
213.3600	15.7798	15.2511
213.5124	15.7738	15.2465
213.6648	15.7897	15.2564
213.8172	15.7837	15.2546
213.9696	15.7793	15.2476
214.1220	15.7897	15.2564
214.2744	15.7842	15.2557
214.4268	15.7842	15.2594
214.5792	15.7842	15.2625
214.7316	15.7842	15.2591
214.8840	15.7842	15.2591
215.0364	15.7848	15.2596
215.1888	15.7896	15.2635
215.3412	15.7837	15.2586
215.4936	15.7794	15.2552
215.6460	15.7896	15.2635
215.7984	15.6659	15.2603
215.9508	14.7384	15.2693
216.1032	15.6112	15.2511
216.2556	14.4146	15.2581
216.4080	14.6065	15.2711
216.5604	14.5935	15.2677
216.7128	14.4870	15.2655
216.8652	14.4943	15.2478
217.0176	14.7111	15.2569
217.1700	15.7461	15.2592
217.3224	15.5375	15.2511
217.4748	15.4901	15.2560
217.6272	15.5430	15.2521
217.7796	15.7611	15.2575
217.9320	15.7842	15.2736
218.0844	15.7818	15.2679
218.2368	15.7657	15.2533
218.3892	15.7845	15.2746
218.5416	15.7869	15.2789
218.6940	15.7895	15.2783
218.8464	15.7850	15.2746
218.9988	15.7876	15.1718
219.1512	15.7412	14.3632
219.3036	15.5603	13.9064
219.4560	15.6765	14.0529
219.6084	15.7874	15.0867
219.7608	15.7705	15.2622
219.9132	15.7850	15.2747
220.0656	15.7894	15.2778
220.2180	15.7842	15.2708
220.3704	15.7850	15.2747
220.5228	15.7886	15.2776
220.6752	15.7021	15.2671
220.8276	15.2950	15.2549
220.9800	15.7518	15.2598
221.1324	15.7612	15.2632
221.2848	15.7639	15.2598
221.4372	15.7007	15.2673
221.5896	15.4456	15.2439
221.7420	15.5913	15.2596
221.8944	15.7602	15.2751
222.0468	15.3807	15.2596
222.1992	13.9188	15.2630
222.3516	13.4548	15.1962
222.5040	13.3945	14.7109
222.6564	13.4346	14.1411
222.8088	13.4396	14.0786
222.9612	14.5783	14.2106
223.1136	15.6357	14.4044
223.2660	14.9139	14.9511
223.4184	13.3603	14.1055
223.5708	12.9350	13.9637
223.7232	12.7090	14.2051
223.8756	12.6220	14.5815
224.0280	12.7359	14.2575
224.1804	12.8633	14.3271
224.3328	12.7187	14.3018
224.4852	12.5041	14.5854
224.6376	12.4348	14.3131
224.7900	12.7052	14.3868
224.9424	13.8652	14.3750
225.0948	13.2795	14.4845
225.2472	14.6173	15.2554
225.3996	15.7643	15.2560
225.5520	15.7742	15.1967
225.7044	15.7611	14.8914
225.8568	15.7570	14.8861
226.0092	15.7550	14.8350
226.1616	15.7708	14.7501
226.3140	15.7793	15.2687
226.4664	15.7809	15.2659
226.6188	15.7585	15.1977
226.7712	15.7135	14.9099
226.9236	15.6482	14.9597
227.0760	15.5915	14.9786
227.2284	15.3960	15.2640
227.3808	15.1719	15.2640
227.5332	15.6980	15.2645
227.6856	15.7751	15.2679
227.8380	15.7854	15.2749
227.9904	15.7649	15.2775
228.1428	15.6583	15.2715
228.2952	15.6958	15.2715
228.4476	15.7902	15.2729
228.6000	15.7891	15.2780
228.7524	15.7850	15.2740
228.9048	15.7884	15.2750
229.0572	15.7891	15.2780
229.2096	15.7823	15.2731
229.3620	15.7554	15.2696
229.5144	15.6903	15.2663
229.6668	15.7423	15.2485
229.8192	15.7507	15.2617
229.9716	15.7830	15.2671
230.1240	15.7807	15.2703
230.2764	15.7890	15.2750
230.4288	15.7847	15.2750
230.5812	15.7806	15.1288
230.7336	15.7479	14.5225
230.8860	15.7118	14.4673
231.0384	15.6396	14.6246
231.1908	14.9764	14.5517
231.3432	13.6526	14.1029
231.4956	13.6602	14.2696
231.6480	13.7203	14.9272
231.8004	13.8199	14.9507
231.9528	14.4279	14.8671
232.1052	15.5329	13.9722
232.2576	15.3373	14.0431
232.4100	14.8886	14.9824
232.5624	14.0801	14.5430
232.7148	14.3141	14.7826
232.8672	14.5743	14.7334
233.0196	15.2617	14.4863
233.1720	15.0311	14.5722
233.3244	14.0548	13.7656
233.4768	14.0680	13.8940
233.6292	14.0693	13.9505
233.7816	14.1396	14.2169
233.9340	14.0272	14.8749
234.0864	13.1427	13.8810
234.2388	13.9218	14.9021
234.3912	14.1143	15.0190
234.5436	14.4003	14.8631
234.6960	13.7485	13.7759
234.8484	13.8110	14.1380
235.0008	13.9314	14.3323
235.1532	14.0352	14.3945
235.3056	14.1710	14.3927
235.4580	14.7432	15.0791
235.6104	15.2208	15.2639
235.7628	15.7798	15.2765
235.9152	15.7676	15.2666
236.0676	15.1873	15.0253
236.2200	13.1992	14.0546
236.3724	12.6426	13.2549
236.5248	13.0679	13.1142
236.6772	13.3440	13.0813
236.8296	13.4228	13.3126
236.9820	13.3291	13.9519
237.1344	12.8233	13.8921
237.2868	13.0244	13.7225
237.4392	13.3116	13.7802
237.5916	13.5585	13.5037
237.7440	13.1142	11.9180
237.8964	12.8574	12.4552
238.0488	12.8550	13.3145
238.2012	13.0782	13.6640
238.3536	12.9927	12.9966
238.5060	12.8045	12.9468
238.6584	12.8211	12.9986
238.8108	13.0445	13.4034
238.9632	13.3927	14.3321
239.1156	13.9961	15.2444
239.2680	14.3378	15.2557
239.4204	13.5869	15.2575
239.5728	13.3804	15.0927
239.7252	13.3246	14.5718
239.8776	13.3275	14.3840
240.0300	13.3215	14.3846
240.1824	13.3234	14.4164
240.3348	13.2815	14.3872
240.4872	13.1664	14.1357
240.6396	13.2686	14.0777
240.7920	13.3525	13.9707
240.9444	12.8868	13.7396
241.0968	12.9276	13.6686
241.2492	13.0200	13.7500
241.4016	13.2348	13.9250
241.5540	13.5782	14.1251
241.7064	14.4041	14.7947
241.8588	14.7520	14.7802
242.0112	14.7459	14.3417
242.1636	13.0367	13.7073
242.3160	13.3008	13.9727
242.4684	13.5615	14.1816
242.6208	13.2302	13.4433
242.7732	13.0224	12.7407
242.9256	12.7236	12.4575
243.0780	12.7154	12.4917
243.2304	12.7055	12.5151
243.3828	12.6873	12.4346
243.5352	12.8516	13.0099
243.6876	13.1186	13.9006
243.8400	13.0303	13.8594
243.9924	13.1216	13.8833
244.1448	12.9221	13.6609
244.2972	13.0073	13.7382
244.4496	13.1829	13.7398
244.6020	13.2960	13.9240
244.7544	13.3009	13.9970
244.9068	13.3050	14.0348
245.0592	13.3000	14.0307
245.2116	13.7911	13.8847
245.3640	14.3827	13.9468
245.5164	13.3399	14.1124
245.6688	13.6572	14.1124
245.8212	13.6591	14.2061
245.9736	13.5097	14.1874
246.1260	13.2009	13.6273
246.2784	13.2251	13.6142
246.4308	13.1773	13.4996
246.5832	13.2130	13.5816
246.7356	13.4269	13.9893
246.8880	14.3087	14.1787
247.0404	15.1305	13.6968
247.1928	15.1142	13.7282
247.3452	15.2774	13.8291
247.4976	15.5388	13.9067
247.6500	15.0371	13.5801
247.8024	14.6173	13.5714
247.9548	15.2431	14.0795
248.1072	14.5605	13.9365
248.2596	13.8261	13.5157
248.4120	13.8458	13.5064
248.5644	13.8858	13.5420
248.7168	14.3399	13.6591
248.8692	14.9805	14.0528
249.0216	14.9488	14.4677
249.1740	15.3916	14.1065
249.3264	15.6606	14.3961
249.4788	15.3727	14.3856
249.6312	15.3091	14.3332
249.7836	15.4707	14.6427
249.9360	15.7816	15.2334
250.0884	15.7857	15.2722
250.2408	15.7373	15.2639
250.3932	15.4003	14.8026
250.5456	14.4315	13.9372
250.6980	13.4857	13.8403
250.8504	13.4701	13.6662
251.0028	13.4695	13.6691
251.1552	13.4739	13.5503
251.3076	14.0451	13.6602
251.4600	15.2354	14.4024
251.6124	15.4350	14.6847
251.7648	15.1712	14.6717
251.9172	15.1951	14.8369
252.0696	15.1288	15.0019
252.2220	14.4452	14.4717
252.3744	13.7861	14.4747
252.5268	13.8902	15.2660
252.6792	13.7993	15.2614
252.8316	13.6011	14.9101
252.9840	13.4619	14.1626
253.1364	13.3535	14.0450
253.2888	13.2830	14.5196
253.4412	13.5538	14.9550
253.5936	14.5157	14.6621
253.7460	15.4981	14.3736
253.8984	15.7790	14.7154
254.0508	15.7804	14.9100
254.2032	15.6377	15.0318
254.3556	15.4863	15.2640
254.5080	15.1971	14.9218
254.6604	14.1406	14.0917
254.8128	13.6963	13.5659
254.9652	13.5605	13.3661
255.1176	13.2603	13.4278
255.2700	13.4048	13.5635
255.4224	13.1333	13.5126
255.5748	12.9174	13.5802
255.7272	12.9503	13.5870
255.8796	13.0225	13.5768
256.0320	12.9634	13.5686
256.1844	12.7563	13.5731
256.3368	13.2130	14.0450
256.4892	13.8567	14.4414
256.6416	14.3302	14.3663
256.7940	15.4170	14.8614
256.9464	15.7595	15.2074
257.0988	15.7246	15.2576
257.2512	15.7296	14.9296
257.4036	15.7902	13.9824
257.5560	15.7877	13.8106
257.7084	14.9374	14.6208
257.8608	14.4220	13.9062
258.0132	15.6514	13.2443
258.1656	15.7721	14.3809
258.3180	15.7866	15.0347
258.4704	15.7869	15.1612
258.6228	15.7805	15.2201
258.7752	15.7685	15.2635
258.9276	15.7689	15.2604
259.0800	15.7641	15.2677
259.2324	15.6440	15.2662
259.3848	15.1835	15.2639
259.5372	14.2363	14.6522
259.6896	13.6558	13.6431
259.8420	13.5615	13.5479
259.9944	13.2222	14.1797
260.1468	13.3389	14.5292
260.2992	13.6939	14.0088
260.4516	14.2832	14.4825
260.6040	14.6377	15.0024
260.7564	14.4053	14.9263
260.9088	14.6285	15.1419
261.0612	14.5603	15.2266
261.2136	14.1445	14.4296
261.3660	13.6695	13.8067
261.5184	13.8135	14.4792
261.6708	14.4082	14.4078
261.8232	14.2382	14.4556
261.9756	13.2986	14.4687
262.1280	13.2837	13.9531
262.2804	13.3262	13.3906
262.4328	13.1898	13.2467
262.5852	13.1462	13.1089
262.7376	13.1654	12.8432
262.8900	13.0664	12.6055
263.0424	12.9502	12.9942
263.1948	13.2627	13.8438
263.3472	13.5602	14.2725
263.4996	13.5567	14.4233
263.6520	13.5389	14.4234
263.8044	13.9746	14.6064
263.9568	14.2899	14.0351
264.1092	13.4336	13.4493
264.2616	13.2696	14.2051
264.4140	13.9117	14.4873
264.5664	13.8659	14.3691
264.7188	13.7045	14.3676
264.8712	13.1153	14.0038
265.0236	13.5353	13.3685
265.1760	14.7710	13.2456
265.3284	14.9883	13.2095
265.4808	15.2148	13.4057
265.6332	15.2156	13.4159
265.7856	15.1089	13.4000
265.9380	14.8749	13.4048
266.0904	14.2480	13.4946
266.2428	13.5676	13.5061
266.3952	13.4862	13.4628
266.5476	13.3877	13.5457
266.7000	13.2881	13.5093
