HOLE:	995B
LEG:	164
TOP:	150.876007
BOTTOM:	658.977600
DEPTH_WMSF	CALI
m	in
150.8760	13.1754
151.0284	13.2694
151.1808	13.2802
151.3332	12.9778
151.4856	12.9378
151.6380	13.7634
151.7904	12.9786
151.9428	13.6414
152.0952	13.6516
152.2476	13.5725
152.4000	13.3874
152.5524	13.5829
152.7048	13.6126
152.8572	13.4814
153.0096	13.6365
153.1620	13.6351
153.3144	13.1028
153.4668	13.1370
153.6192	13.1388
153.7716	13.1239
153.9240	13.1066
154.0764	13.1953
154.2288	12.5307
154.3812	12.5163
154.5336	12.5520
154.6860	12.5605
154.8384	12.5702
154.9908	12.5362
155.1432	12.6050
155.2956	13.1414
155.4480	12.9812
155.6004	12.7571
155.7528	12.7714
155.9052	12.7583
156.0576	12.8297
156.2100	12.9529
156.3624	12.7651
156.5148	12.7515
156.6672	12.7406
156.8196	12.7931
156.9720	12.8199
157.1244	12.8564
157.2768	12.9171
157.4292	12.9589
157.5816	13.0205
157.7340	13.4954
157.8864	13.1084
158.0388	13.8873
158.1912	14.1140
158.3436	13.6729
158.4960	12.6961
158.6484	13.0684
158.8008	13.5465
158.9532	13.1814
159.1056	12.6964
159.2580	12.8109
159.4104	12.9055
159.5628	12.8187
159.7152	12.6722
159.8676	13.0684
160.0200	12.9863
160.1724	12.2192
160.3248	12.2138
160.4772	12.2213
160.6296	12.2355
160.7820	12.2736
160.9344	12.2640
161.0868	12.2201
161.2392	12.2069
161.3916	12.2505
161.5440	12.6891
161.6964	13.3140
161.8488	13.5956
162.0012	13.6119
162.1536	13.6655
162.3060	13.0369
162.4584	12.9368
162.6108	14.3047
162.7632	15.0383
162.9156	15.3944
163.0680	14.7852
163.2204	14.9275
163.3728	14.6117
163.5252	14.6578
163.6776	14.8204
163.8300	14.6396
163.9824	13.8657
164.1348	14.3655
164.2872	14.8172
164.4396	14.8434
164.5920	14.2318
164.7444	15.0776
164.8968	15.4340
165.0492	14.8350
165.2016	13.9559
165.3540	14.4101
165.5064	14.3646
165.6588	14.9181
165.8112	14.5654
165.9636	14.7651
166.1160	14.8572
166.2684	14.4328
166.4208	14.2331
166.5732	14.1164
166.7256	14.1092
166.8780	14.7017
167.0304	14.7573
167.1828	13.7724
167.3352	13.7803
167.4876	13.7312
167.6400	15.3169
167.7924	16.7865
167.9448	16.7311
168.0972	15.1483
168.2496	13.3680
168.4020	14.0579
168.5544	13.4578
168.7068	13.3907
168.8592	13.5818
169.0116	14.1166
169.1640	14.1230
169.3164	13.7769
169.4688	13.7202
169.6212	13.7907
169.7736	13.8078
169.9260	13.2922
170.0784	13.2973
170.2308	13.4612
170.3832	13.5294
170.5356	14.7344
170.6880	15.1643
170.8404	13.8193
170.9928	14.2493
171.1452	14.0093
171.2976	13.8831
171.4500	13.8841
171.6024	13.8814
171.7548	13.8856
171.9072	13.8866
172.0596	13.8832
172.2120	13.8832
172.3644	13.8838
172.5168	13.8829
172.6692	13.8805
172.8216	13.9978
172.9740	14.2674
173.1264	14.1883
173.2788	14.2674
173.4312	14.5955
173.5836	13.6637
173.7360	13.7730
173.8884	13.8254
174.0408	14.8284
174.1932	15.6532
174.3456	15.6420
174.4980	15.5402
174.6504	14.8230
174.8028	14.8825
174.9552	15.3028
175.1076	14.7760
175.2600	14.2101
175.4124	14.1283
175.5648	14.1285
175.7172	14.1358
175.8696	14.3544
176.0220	14.4701
176.1744	14.4620
176.3268	14.2721
176.4792	15.1426
176.6316	15.3188
176.7840	15.2440
176.9364	14.3755
177.0888	14.0682
177.2412	14.0985
177.3936	13.9292
177.5460	14.8599
177.6984	17.1037
177.8508	16.8923
178.0032	16.5985
178.1556	14.3004
178.3080	13.7926
178.4604	13.7255
178.6128	13.7318
178.7652	13.7290
178.9176	13.7352
179.0700	13.7255
179.2224	13.9191
179.3748	13.6481
179.5272	13.5534
179.6796	13.5631
179.8320	14.1339
179.9844	14.2747
180.1368	13.7787
180.2892	13.7866
180.4416	15.4229
180.5940	17.4339
180.7464	17.4250
180.8988	18.0901
181.0512	17.8811
181.2036	17.8365
181.3560	18.0723
181.5084	18.0722
181.6608	18.3216
181.8132	17.7382
181.9656	16.1727
182.1180	15.2695
182.2704	15.8607
182.4228	15.8741
182.5752	15.5715
182.7276	15.1264
182.8800	14.7891
183.0324	15.1600
183.1848	15.6231
183.3372	16.2084
183.4896	15.9461
183.6420	15.5182
183.7944	14.8688
183.9468	15.2309
184.0992	15.6298
184.2516	15.6028
184.4040	15.0831
184.5564	14.7632
184.7088	14.9878
184.8612	14.8954
185.0136	14.7583
185.1660	15.3367
185.3184	14.6248
185.4708	14.6210
185.6232	14.6200
185.7756	14.6533
185.9280	15.3536
186.0804	15.7044
186.2328	14.7922
186.3852	13.9106
186.5376	14.1012
186.6900	14.3416
186.8424	15.0057
186.9948	15.0176
187.1472	15.9246
187.2996	15.9161
187.4520	15.5866
187.6044	16.6558
187.7568	15.3061
187.9092	16.0785
188.0616	16.0383
188.2140	15.0862
188.3664	14.7795
188.5188	15.0906
188.6712	16.9588
188.8236	17.0092
188.9760	16.1224
189.1284	15.6886
189.2808	16.1774
189.4332	16.1860
189.5856	16.1799
189.7380	16.5020
189.8904	17.1314
190.0428	15.9596
190.1952	14.0777
190.3476	14.0177
190.5000	14.7217
190.6524	16.9200
190.8048	18.4466
190.9572	18.4322
191.1096	18.4355
191.2620	18.4062
191.4144	18.3835
191.5668	16.8564
191.7192	17.8393
191.8716	17.9347
192.0240	18.4445
192.1764	18.4698
192.3288	18.4700
192.4812	18.4680
192.6336	17.6953
192.7860	18.3907
192.9384	18.4400
193.0908	17.8765
193.2432	16.9922
193.3956	17.7685
193.5480	17.2376
193.7004	15.1204
193.8528	15.1313
194.0052	15.6034
194.1576	15.8351
194.3100	16.8428
194.4624	15.7282
194.6148	15.0369
194.7672	15.0411
194.9196	15.1270
195.0720	15.1204
195.2244	15.5225
195.3768	15.4828
195.5292	15.3315
195.6816	16.2360
195.8340	16.8477
195.9864	16.4504
196.1388	14.3010
196.2912	14.3091
196.4436	15.2357
196.5960	18.1001
196.7484	18.3736
196.9008	16.5336
197.0532	15.0605
197.2056	16.0175
197.3580	15.4937
197.5104	15.5505
197.6628	16.6735
197.8152	17.8795
197.9676	18.4364
198.1200	18.4651
198.2724	17.6415
198.4248	15.6489
198.5772	15.3021
198.7296	15.3211
198.8820	16.7511
199.0344	15.6531
199.1868	15.6517
199.3392	15.6485
199.4916	15.6539
199.6440	15.4580
199.7964	15.4804
199.9488	15.5171
200.1012	15.5339
200.2536	15.7441
200.4060	15.5694
200.5584	15.5266
200.7108	15.5151
200.8632	15.2230
201.0156	15.7116
201.1680	15.8306
201.3204	15.9979
201.4728	17.4478
201.6252	17.1626
201.7776	17.2921
201.9300	17.5130
202.0824	17.3713
202.2348	17.5268
202.3872	17.5809
202.5396	15.9884
202.6920	15.6555
202.8444	15.6583
202.9968	15.9998
203.1492	16.4104
203.3016	16.2075
203.4540	16.1496
203.6064	16.0076
203.7588	17.3742
203.9112	16.3636
204.0636	16.3213
204.2160	16.3155
204.3684	16.6248
204.5208	17.2643
204.6732	17.6795
204.8256	18.3635
204.9780	18.4379
205.1304	18.0010
205.2828	15.5002
205.4352	15.3879
205.5876	15.2675
205.7400	14.8909
205.8924	14.8932
206.0448	14.9027
206.1972	14.9790
206.3496	16.0316
206.5020	17.0290
206.6544	17.7458
206.8068	17.9153
206.9592	17.0418
207.1116	17.5958
207.2640	18.3480
207.4164	18.2345
207.5688	18.3219
207.7212	15.6100
207.8736	15.3357
208.0260	15.0794
208.1784	15.6561
208.3308	17.9565
208.4832	18.3382
208.6356	18.4663
208.7880	18.4673
208.9404	17.0922
209.0928	15.3732
209.2452	15.1445
209.3976	15.1561
209.5500	15.2383
209.7024	15.9460
209.8548	15.9647
210.0072	15.9716
210.1596	15.9695
210.3120	15.9661
210.4644	17.6280
210.6168	18.4738
210.7692	18.4671
210.9216	18.4541
211.0740	18.2655
211.2264	15.9718
211.3788	16.3141
211.5312	16.4491
211.6836	18.2937
211.8360	18.4675
211.9884	18.4631
212.1408	18.4746
212.2932	18.4717
212.4456	18.4650
212.5980	18.4388
212.7504	18.4340
212.9028	18.4426
213.0552	18.4322
213.2076	18.4437
213.3600	18.4437
213.5124	18.4594
213.6648	18.4738
213.8172	18.4406
213.9696	18.4456
214.1220	18.4443
214.2744	18.4727
214.4268	18.4628
214.5792	18.4627
214.7316	18.4603
214.8840	18.4674
215.0364	18.4414
215.1888	18.4388
215.3412	18.4409
215.4936	18.4398
215.6460	18.4078
215.7984	18.3522
215.9508	18.1826
216.1032	18.4035
216.2556	18.4409
216.4080	18.4276
216.5604	18.2155
216.7128	18.0365
216.8652	18.0200
217.0176	17.2947
217.1700	17.8874
217.3224	17.5274
217.4748	17.5858
217.6272	17.1796
217.7796	17.8100
217.9320	18.4375
218.0844	18.4417
218.2368	18.4357
218.3892	18.4362
218.5416	18.4380
218.6940	17.9077
218.8464	16.8865
218.9988	16.9352
219.1512	16.9153
219.3036	16.9597
219.4560	17.1610
219.6084	17.1077
219.7608	17.2672
219.9132	18.2068
220.0656	18.4486
220.2180	18.4253
220.3704	18.4098
220.5228	18.4099
220.6752	18.4109
220.8276	18.3982
220.9800	18.2617
221.1324	17.5129
221.2848	17.4365
221.4372	17.1235
221.5896	16.8379
221.7420	16.0951
221.8944	15.5955
222.0468	15.5729
222.1992	14.7259
222.3516	14.0737
222.5040	14.0659
222.6564	14.0784
222.8088	14.1492
222.9612	14.6119
223.1136	14.7288
223.2660	14.7325
223.4184	14.9915
223.5708	14.3314
223.7232	13.8427
223.8756	13.6653
224.0280	13.3843
224.1804	13.4082
224.3328	13.3654
224.4852	13.2392
224.6376	13.5007
224.7900	14.6119
224.9424	14.7300
225.0948	14.7932
225.2472	15.8865
225.3996	17.1371
225.5520	17.3730
225.7044	18.2247
225.8568	18.2809
226.0092	18.1387
226.1616	18.2311
226.3140	17.6602
226.4664	16.4806
226.6188	16.4377
226.7712	16.6858
226.9236	15.6100
227.0760	15.1804
227.2284	15.1860
227.3808	15.1882
227.5332	16.1036
227.6856	18.3372
227.8380	18.2763
227.9904	18.0796
228.1428	16.7702
228.2952	16.9561
228.4476	17.6238
228.6000	17.2791
228.7524	16.4995
228.9048	16.1756
229.0572	16.5467
229.2096	16.5511
229.3620	16.9722
229.5144	17.1316
229.6668	18.3316
229.8192	18.3455
229.9716	18.3130
230.1240	17.7281
230.2764	16.3162
230.4288	16.2833
230.5812	16.2907
230.7336	16.6494
230.8860	17.4090
