HOLE:	995B
LEG:	164
TOP:	133.960007
BOTTOM:	657.911194
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohmm	ohmm	ohmm
133.9600	0.3565	0.5677	1.0093
134.1124	0.4069	0.4541	0.9708
134.2648	0.4786	0.4345	0.9038
134.4172	0.5724	0.4704	0.9561
134.5696	0.6588	0.5499	0.9952
134.7220	0.7143	0.6701	0.8478
134.8744	0.7344	0.8207	0.8370
135.0268	0.7110	0.9589	0.8201
135.1792	0.6840	1.0233	0.8688
135.3316	0.6716	1.0020	0.8939
135.4840	0.6681	0.9400	0.8988
135.6364	0.6826	0.8902	0.8544
135.7888	0.7135	0.8795	0.8476
135.9412	0.7549	0.9015	0.8749
136.0936	0.8031	0.9327	0.8679
136.2460	0.8420	0.9524	0.8877
136.3984	0.8574	0.9540	0.8583
136.5508	0.8590	0.9438	0.8463
136.7032	0.8517	0.9327	0.8964
136.8556	0.8416	0.9269	0.9322
137.0080	0.8325	0.9264	0.8711
137.1604	0.8306	0.9290	0.8721
137.3128	0.8342	0.9312	0.9119
137.4652	0.8400	0.9290	0.9128
137.6176	0.8401	0.9207	0.9101
137.7700	0.8425	0.9076	0.9127
137.9224	0.8641	0.8921	0.8676
138.0748	0.8554	0.8754	0.8492
138.2272	0.8312	0.8577	0.7961
138.3796	0.8237	0.8420	0.7569
138.5320	0.8218	0.8341	0.7790
138.6844	0.8231	0.8372	0.7895
138.8368	0.8205	0.8482	0.7649
138.9892	0.8301	0.8617	0.7714
139.1416	0.8504	0.8756	0.8355
139.2940	0.8792	0.8923	0.8733
139.4464	0.8883	0.9150	0.8764
139.5988	0.9009	0.9412	0.8893
139.7512	0.9072	0.9617	0.8448
139.9036	0.9151	0.9680	0.8829
140.0560	0.9200	0.9619	0.8460
140.2084	0.9219	0.9520	0.8713
140.3608	0.9224	0.9458	0.8863
140.5132	0.9180	0.9445	0.9310
140.6656	0.9188	0.9421	0.8920
140.8180	0.9146	0.9302	0.9390
140.9704	0.9084	0.9084	0.9020
141.1228	0.9085	0.8877	0.8673
141.2752	0.9101	0.8805	0.8709
141.4276	0.9058	0.8895	0.8275
141.5800	0.8904	0.9055	0.8451
141.7324	0.8804	0.9155	0.7827
141.8848	0.8825	0.9144	0.8842
142.0372	0.8892	0.9086	0.8098
142.1896	0.8855	0.9066	0.8003
142.3420	0.8854	0.9093	0.8208
142.4944	0.8967	0.9118	0.8566
142.6468	0.8938	0.9103	0.8242
142.7992	0.8947	0.9058	0.8510
142.9516	0.8958	0.9012	0.8525
143.1040	0.8931	0.8987	0.8793
143.2564	0.8849	0.8977	0.8313
143.4088	0.8818	0.8957	0.8044
143.5612	0.8838	0.8903	0.8280
143.7136	0.8874	0.8811	0.8242
143.8660	0.8851	0.8702	0.8372
144.0184	0.8705	0.8599	0.8202
144.1708	0.8405	0.8499	0.7804
144.3232	0.8254	0.8390	0.8177
144.4756	0.8343	0.8304	0.8026
144.6280	0.8416	0.8291	0.8074
144.7804	0.8367	0.8357	0.8242
144.9328	0.8503	0.8473	0.8076
145.0852	0.8709	0.8614	0.7842
145.2376	0.8909	0.8784	0.9082
145.3900	0.9121	0.9024	0.9241
145.5424	0.9216	0.9359	0.8899
145.6948	0.9250	0.9711	0.9068
145.8472	0.9053	0.9939	0.9113
145.9996	0.9036	0.9981	0.9336
146.1520	0.9320	0.9886	0.9087
146.3044	0.9588	0.9737	0.9198
146.4568	0.9628	0.9610	0.9158
146.6092	0.9647	0.9547	0.9190
146.7616	0.9632	0.9543	0.8989
146.9140	0.9573	0.9585	0.8879
147.0664	0.9638	0.9659	0.9247
147.2188	0.9640	0.9728	0.9077
147.3712	0.9602	0.9745	0.9167
147.5236	0.9632	0.9704	0.9262
147.6760	0.9606	0.9635	0.9555
147.8284	0.9506	0.9574	0.9221
147.9808	0.9577	0.9551	0.9134
148.1332	0.9580	0.9563	0.8988
148.2856	0.9582	0.9564	0.9352
148.4380	0.9479	0.9504	0.9283
148.5904	0.9421	0.9384	0.9275
148.7428	0.9299	0.9241	0.9049
148.8952	0.9263	0.9120	0.8695
149.0476	0.9262	0.9048	0.8701
149.2000	0.9092	0.9025	0.8767
149.3524	0.9070	0.9028	0.8787
149.5048	0.9060	0.9037	0.8619
149.6572	0.9058	0.9038	0.8505
149.8096	0.9049	0.9014	0.8427
149.9620	0.9013	0.8969	0.8569
150.1144	0.9008	0.8942	0.8566
150.2668	0.9060	0.8983	0.8633
150.4192	0.9064	0.9116	0.8534
150.5716	0.9070	0.9319	0.8676
150.7240	0.9178	0.9518	0.8561
150.8764	0.9194	0.9614	0.8268
151.0288	0.9127	0.9567	0.8177
151.1812	0.9193	0.9438	0.8599
151.3336	0.9223	0.9327	0.8598
151.4860	0.9251	0.9286	0.8604
151.6384	0.9271	0.9300	0.8990
151.7908	0.9344	0.9322	0.8941
151.9432	0.9281	0.9315	0.8923
152.0956	0.9199	0.9276	0.9111
152.2480	0.9119	0.9230	0.9016
152.4004	0.9134	0.9181	0.8797
152.5528	0.9139	0.9113	0.8999
152.7052	0.9144	0.9041	0.8747
152.8576	0.9113	0.9006	0.8439
153.0100	0.9039	0.9019	0.8593
153.1624	0.8989	0.9050	0.8923
153.3148	0.8961	0.9043	0.9097
153.4672	0.9017	0.8964	0.9137
153.6196	0.9008	0.8846	0.8916
153.7720	0.9008	0.8779	0.8732
153.9244	0.9025	0.8827	0.8399
154.0768	0.8985	0.8968	0.8434
154.2292	0.8971	0.9126	0.8914
154.3816	0.9047	0.9223	0.8648
154.5340	0.9066	0.9230	0.8828
154.6864	0.9063	0.9185	0.8982
154.8388	0.9059	0.9142	0.8587
154.9912	0.9048	0.9103	0.8784
155.1436	0.8939	0.9040	0.8871
155.2960	0.8894	0.8951	0.8485
155.4484	0.8881	0.8862	0.8447
155.6008	0.8830	0.8801	0.8615
155.7532	0.8802	0.8787	0.8628
155.9056	0.8745	0.8812	0.8487
156.0580	0.8710	0.8829	0.8485
156.2104	0.8707	0.8797	0.8576
156.3628	0.8671	0.8706	0.8579
156.5152	0.8645	0.8584	0.8322
156.6676	0.8643	0.8481	0.8214
156.8200	0.8655	0.8449	0.8163
156.9724	0.8638	0.8496	0.8246
157.1248	0.8607	0.8580	0.8108
157.2772	0.8507	0.8632	0.8415
157.4296	0.8423	0.8590	0.8207
157.5820	0.8384	0.8440	0.7777
157.7344	0.8348	0.8236	0.7468
157.8868	0.8215	0.8052	0.7456
158.0392	0.8016	0.7937	0.7648
158.1916	0.7921	0.7897	0.7397
158.3440	0.7894	0.7899	0.7714
158.4964	0.7890	0.7893	0.7289
158.6488	0.7856	0.7856	0.7363
158.8012	0.7927	0.7810	0.7533
158.9536	0.7954	0.7810	0.7659
159.1060	0.7971	0.7892	0.7808
159.2584	0.8013	0.8046	0.7870
159.4108	0.8073	0.8208	0.7827
159.5632	0.8193	0.8307	0.7974
159.7156	0.8309	0.8329	0.7838
159.8680	0.8343	0.8323	0.8045
160.0204	0.8430	0.8355	0.7834
160.1728	0.8548	0.8461	0.7962
