HOLE:	995B
LEG:	164
TOP:	151.332993
BOTTOM:	661.415771
DEPTH_WMSF	RHOB	PEF	DRHO
m	g/cm3	barns/e-	g/cm3
151.3330	1.3644	1.9062	-0.0079
151.4854	1.2744	1.8648	-0.0178
151.6378	1.2779	1.9117	0.0162
151.7902	1.3018	1.9930	0.0411
151.9426	1.3002	2.0971	0.0317
152.0950	1.3046	2.1565	0.0242
152.2474	1.3158	2.3084	0.0208
152.3998	1.3578	2.4714	0.0195
152.5522	1.4147	2.5030	-0.0038
152.7046	1.4914	2.3057	-0.0042
152.8570	1.5297	2.0991	0.0225
153.0094	1.4739	1.9525	0.0337
153.1618	1.3750	1.9714	0.0217
153.3142	1.2861	2.1605	-0.0081
153.4666	1.3091	2.5712	0.0019
153.6190	1.3885	2.6726	-0.0009
153.7714	1.4940	2.4992	-0.0011
153.9238	1.5296	2.3102	0.0089
154.0762	1.4954	2.1253	0.0162
154.2286	1.4277	2.1783	0.0081
154.3810	1.3740	2.2675	0.0036
154.5334	1.3950	2.5118	-0.0156
154.6858	1.4508	2.3407	-0.0140
154.8382	1.5322	2.1338	0.0039
154.9906	1.5003	2.0643	0.0223
155.1430	1.4049	2.1179	0.0114
155.2954	1.3784	2.1322	-0.0090
155.4478	1.4217	1.9801	0.0074
155.6002	1.4219	1.9608	0.0146
155.7526	1.3577	2.1061	0.0203
155.9050	1.3392	2.5805	-0.0069
156.0574	1.4677	2.4290	0.0292
156.2098	1.5443	2.2539	-0.0025
156.3622	1.4907	2.3191	0.0089
156.5146	1.4412	2.4279	0.0116
156.6670	1.4499	2.4649	0.0052
156.8194	1.4439	2.4154	-0.0088
156.9718	1.4462	2.1944	-0.0101
157.1242	1.4318	2.3093	0.0078
157.2766	1.3675	2.1928	-0.0122
157.4290	1.4006	2.1806	-0.0113
157.5814	1.3899	1.9347	-0.0104
157.7338	1.3910	1.8758	-0.0049
157.8862	1.3256	1.8838	0.0147
158.0386	1.3220	2.0283	0.0278
158.1910	1.3627	2.0673	0.0366
158.3434	1.3982	2.1096	0.0129
158.4958	1.3703	2.0883	-0.0080
158.6482	1.3512	2.0754	-0.0131
158.8006	1.3334	2.1386	-0.0113
158.9530	1.3365	2.0402	-0.0069
159.1054	1.3644	1.9794	-0.0135
159.2578	1.3549	1.9295	0.0121
159.4102	1.3390	1.9626	0.0218
159.5626	1.3345	2.1176	0.0438
159.7150	1.3502	2.0699	0.0252
159.8674	1.4114	2.1442	-0.0139
160.0198	1.4199	2.1890	0.0117
160.1722	1.4420	2.5914	-0.0019
160.3246	1.4530	2.8645	-0.0012
160.4770	1.5864	2.9126	-0.0030
160.6294	1.6671	2.8395	0.0132
160.7818	1.6429	2.8390	-0.0112
160.9342	1.6459	2.8997	-0.0080
161.0866	1.6459	3.0532	-0.0085
161.2390	1.6353	3.1149	-0.0124
161.3914	1.6360	2.8869	-0.0040
161.5438	1.6389	2.7541	0.0100
161.6962	1.6258	2.7919	0.0091
161.8486	1.6447	3.0796	0.0139
162.0010	1.6491	3.2713	-0.0026
162.1534	1.6691	2.9071	-0.0151
162.3058	1.6208	2.4637	-0.0275
162.4582	1.5538	2.1444	-0.0055
162.6106	1.4982	2.2717	0.0093
162.7630	1.4847	2.6722	0.0032
162.9154	1.5307	2.9409	0.0102
163.0678	1.5650	2.9271	0.0080
163.2202	1.5744	2.8597	0.0173
163.3726	1.5742	2.8284	0.0112
163.5250	1.5861	2.9210	0.0198
163.6774	1.5690	2.9193	-0.0218
163.8298	1.5610	2.7911	-0.0411
163.9822	1.5482	2.3836	-0.0129
164.1346	1.5048	2.2210	0.0039
164.2870	1.4720	2.3616	0.0197
164.4394	1.5039	2.7301	0.0161
164.5918	1.5442	2.7656	0.0174
164.7442	1.5777	2.7621	0.0096
164.8966	1.5561	2.7681	-0.0063
165.0490	1.5682	2.8163	-0.0089
165.2014	1.5920	2.8048	-0.0007
165.3538	1.6139	2.8232	0.0088
165.5062	1.6093	2.9546	0.0018
165.6586	1.5756	2.8524	-0.0135
165.8110	1.5500	2.6575	-0.0040
165.9634	1.5136	2.5584	0.0048
166.1158	1.5184	2.4649	0.0056
166.2682	1.5468	2.6754	0.0025
166.4206	1.6068	2.7526	0.0173
166.5730	1.5906	2.8529	-0.0023
