HOLE:	995B
LEG:	164
TOP:	115.823997
BOTTOM:	663.092407
DEPTH_WMSF	SGR	CGR	THOR	URAN	POTA	W1NG	W2NG	W3NG	W4NG	W5NG
m	gAPI	gAPI	ppm	ppm	%	cps	cps	cps	cps	cps
115.8240	157.0257	774.1155	170.8237	-69.7142	11.3154	1632.3319	123.7482	53.6481	57.9399	65.0930
115.9764	148.9349	800.2795	172.9565	-73.5841	12.4176	1685.7552	133.1424	66.5712	60.1288	73.7294
116.1288	140.7632	808.7231	172.0414	-75.4612	13.0902	1409.1559	103.0043	57.9399	53.6481	62.2318
116.2812	126.6511	766.2060	161.1738	-72.2522	12.7623	1414.4596	133.1424	64.4238	50.8232	64.4238
116.4336	113.8326	780.9318	162.6797	-75.3639	13.3222	1274.7778	96.3773	56.7327	49.8975	52.6316
116.5860	153.4096	500.3401	119.3482	-39.1936	5.5467	1138.4720	82.5375	54.5703	51.8417	51.8417
116.7384	193.2095	239.0546	80.2736	-5.1792	-1.9459	1000.0000	85.9482	60.7094	56.6166	56.6166
116.8908	213.8765	453.7098	132.8022	-27.0946	0.1716	920.6008	72.9614	57.9399	50.7868	53.6481
117.0432	180.7781	769.4595	190.8501	-66.5049	7.0856	666.1666	59.2648	48.7622	44.2611	47.2618
117.1956	121.7995	899.4411	203.0362	-87.8522	12.2466	399.7135	48.7106	43.6963	51.5759	52.2923
117.3480	98.3543	616.0384	136.9766	-58.4841	8.8000	118.7970	30.8271	24.8120	24.8120	66.1654
117.5004	80.2471	529.4036	111.5084	-50.7424	8.7890	25.9740	25.2905	29.3917	60.8339	273.4108
117.6528	221.4954	1461.6553	307.8261	-140.1041	24.2745	12.9516	18.4049	68.8480	140.4226	201.7723
117.8052	432.2915	2862.2419	602.7101	-274.5178	47.5507	8.5776	67.1908	246.6047	105.0751	1664.7605
117.9576	655.9623	4351.0024	916.2530	-417.4383	72.2736	15.0322	288.4753	345.7409	1289.9070	1109.5204
118.1100	754.5056	5009.2080	1055.0621	-480.6648	83.1672	57.2246	673.8198	2048.6409	280.4006	77.2532
