OCEAN DRILLING PROGRAM		
Hole: 995B		
Leg: 164		
Shear Sonic Tool		
Operator: Borehole Research Group (Lamont Doherty Earth 		
Date: 11/2/1995		

"Note: for further information about the tool and the data processing performed, refer to the paper: Guerin et al., "Characterization of in situ elastic properties of gas hydrate-bearing sediments on the Blake Ridge, J. Geophys. Res., 104(8), 17,781-17,795, 1999".		

DEPTH	VP	VS
mbsf	m/s	m/s
655.09	1731.63	451.46
654.94	1763.38	455.91
654.79	1768.84	459.33
654.64	1776.21	552.12
654.49	1730.24	645.03
654.34	1721.17	734.04
654.19	1749.92	821.39
654.04	1778.01	790.45
653.89	1803.3	668.37
653.74	1818.03	568.99
653.61	1802.15	508.87
653.49	1756.32	449
653.37	1717.47	509.72
653.25	1717.47	571.57
653.13	1679.5	610.98
652.99	1683.64	610.86
652.84	1691.94	610.73
652.69	1736.66	610.73
652.54	1784.41	610.49
652.39	1839.46	601.75
652.24	1861.75	633.28
652.09	1884.32	648.92
651.94	1900.49	658.53
651.79	1919.69	596.93
651.64	1928.21	601.42
651.51	1941.7	508.04
651.39	1988.83	486.34
651.27	2047.21	465.74
651.15	2047.21	576.81
651.03	2092.21	616.36
650.89	2149.32	704.32
650.74	2202.65	721.79
650.59	2224.93	704.91
650.44	2246.78	660.25
650.29	2275.15	640.53
650.14	2292.14	635.15
649.99	2303.9	646.62
649.84	2312.43	694.01
649.69	2308.93	712.05
649.54	2300.21	722.05
649.39	2293.26	728.33
649.24	2294.99	652.61
649.09	2296.73	579.09
648.94	2302.01	501.47
648.79	2307.2	488.13
648.64	2307.2	476.22
648.49	2302.04	544.87
648.34	2286.81	613.03
648.19	2273.01	671.95
648.04	2261.08	646.81
647.89	2251.03	608.61
647.74	2252.74	588.09
647.59	2264.5	564.16
647.44	2278.29	584.41
647.29	2226.8	625.07
647.14	2163.56	672.15
646.99	2084.34	681.85
646.84	1969.36	714.85
646.69	1847.37	717.53
646.54	1788.51	717.9
646.39	1746.6	713.33
646.24	1708.73	660.92
646.09	1703.95	605.32
645.94	1698.24	563.75
645.79	1703.04	522.14
645.66	1708.88	488.86
645.54	1731.07	513.6
645.42	1760.76	606.32
645.3	1760.76	619.84
645.18	1792.51	638.81
645.04	1812.05	655.05
644.89	1848.12	662.58
644.74	1883.5	607.84
644.59	1934.16	618.67
644.44	1998.63	632.43
644.29	2064.03	648.33
644.14	2106.95	653.98
643.99	2137.63	648.98
643.84	2151.01	643.92
